HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
L2034,No Change,Kafo pla sin up w/wo k/a cus,"Knee ankle foot orthosis, full plastic, single upright, with or without free motion knee, medial lateral rotation control, with or without free motion ankle, custom fabricated",
L2035,No Change,Kafo plastic pediatric size,"Knee ankle foot orthosis, full plastic, static (pediatric size), without free motion ankle, prefabricated, includes fitting and adjustment",
L2036,No Change,Kafo plas doub free knee mol,"Knee ankle foot orthosis, full plastic, double upright, with or without free motion knee, with or without free motion ankle, custom fabricated",
L2037,No Change,Kafo plas sing free knee mol,"Knee ankle foot orthosis, full plastic, single upright, with or without free motion knee, with or without free motion ankle, custom fabricated",
L2038,No Change,Kafo w/o joint multi-axis an,"Knee ankle foot orthosis, full plastic, with or without free motion knee, multi-axis ankle, custom fabricated",
L2040,No Change,Hkafo torsion bil rot straps,"Hip knee ankle foot orthosis, torsion control, bilateral rotation straps, pelvic band/belt, custom fabricated",
L2050,No Change,Hkafo torsion cable hip pelv,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, hip joint, pelvic band/belt, custom fabricated",
L2060,No Change,Hkafo torsion ball bearing j,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, ball bearing hip joint, pelvic band/ belt, custom fabricated",
L2070,No Change,Hkafo torsion unilat rot str,"Hip knee ankle foot orthosis, torsion control, unilateral rotation straps, pelvic band/belt, custom fabricated",
L2080,No Change,Hkafo unilat torsion cable,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, hip joint, pelvic band/belt, custom fabricated",
L2090,No Change,Hkafo unilat torsion ball br,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, ball bearing hip joint, pelvic band/ belt, custom fabricated",
L2106,No Change,Afo tib fx cast plaster mold,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, thermoplastic type casting material, custom fabricated",
L2108,No Change,Afo tib fx cast molded to pt,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, custom fabricated",
L2112,No Change,Afo tibial fracture soft,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, soft, prefabricated, includes fitting and adjustment",
L2114,No Change,Afo tib fx semi-rigid,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, semi-rigid, prefabricated, includes fitting and adjustment",
L2116,No Change,Afo tibial fracture rigid,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, rigid, prefabricated, includes fitting and adjustment",
L2126,No Change,Kafo fem fx cast thermoplas,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis, thermoplastic type casting material, custom fabricated",
L2128,No Change,Kafo fem fx cast molded to p,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis, custom fabricated",
L2132,No Change,Kafo femoral fx cast soft,"Kafo, fracture orthosis, femoral fracture cast orthosis, soft, prefabricated, includes fitting and adjustment",
L2134,No Change,Kafo fem fx cast semi-rigid,"Kafo, fracture orthosis, femoral fracture cast orthosis, semi-rigid, prefabricated, includes fitting and adjustment",
L2136,No Change,Kafo femoral fx cast rigid,"Kafo, fracture orthosis, femoral fracture cast orthosis, rigid, prefabricated, includes fitting and adjustment",
L2180,No Change,Plas shoe insert w ank joint,"Addition to lower extremity fracture orthosis, plastic shoe insert with ankle joints",
L2182,No Change,Drop lock knee,"Addition to lower extremity fracture orthosis, drop lock knee joint",
L2184,No Change,Limited motion knee joint,"Addition to lower extremity fracture orthosis, limited motion knee joint",
L2186,No Change,Adj motion knee jnt lerman t,"Addition to lower extremity fracture orthosis, adjustable motion knee joint, lerman type",
L2188,No Change,Quadrilateral brim,"Addition to lower extremity fracture orthosis, quadrilateral brim",
L2190,No Change,Waist belt,"Addition to lower extremity fracture orthosis, waist belt",
L2192,No Change,Pelvic band & belt thigh fla,"Addition to lower extremity fracture orthosis, hip joint, pelvic band, thigh flange, and pelvic belt",
L2200,No Change,Limited ankle motion ea jnt,"Addition to lower extremity, limited ankle motion, each joint",
L2210,No Change,Dorsiflexion assist each joi,"Addition to lower extremity, dorsiflexion assist (plantar flexion resist), each joint",
L2220,No Change,Dorsi & plantar flex ass/res,"Addition to lower extremity, dorsiflexion and plantar flexion assist/resist, each joint",
L2230,No Change,Split flat caliper stirr & p,"Addition to lower extremity, split flat caliper stirrups and plate attachment",
L2232,No Change,"Rocker bottom, contact afo","Addition to lower extremity orthosis, rocker bottom for total contact ankle foot orthosis, for custom fabricated orthosis only",
L2240,No Change,Round caliper and plate atta,"Addition to lower extremity, round caliper and plate attachment",
L2250,No Change,Foot plate molded stirrup at,"Addition to lower extremity, foot plate, molded to patient model, stirrup attachment",
L2260,No Change,Reinforced solid stirrup,"Addition to lower extremity, reinforced solid stirrup (scott-craig type)",
L2265,No Change,Long tongue stirrup,"Addition to lower extremity, long tongue stirrup",
L2270,No Change,Varus/valgus strap padded/li,"Addition to lower extremity, varus/valgus correction ('t') strap, padded/lined or malleolus pad",
L2275,No Change,Plastic mod low ext pad/line,"Addition to lower extremity, varus/valgus correction, plastic modification, padded/lined",
L2280,No Change,Molded inner boot,"Addition to lower extremity, molded inner boot",
L2300,No Change,Abduction bar jointed adjust,"Addition to lower extremity, abduction bar (bilateral hip involvement), jointed, adjustable",
L2310,No Change,Abduction bar-straight,"Addition to lower extremity, abduction bar-straight",
L2320,No Change,Non-molded lacer,"Addition to lower extremity, non-molded lacer, for custom fabricated orthosis only",
L2330,No Change,Lacer molded to patient mode,"Addition to lower extremity, lacer molded to patient model, for custom fabricated orthosis only",
L2335,No Change,Anterior swing band,"Addition to lower extremity, anterior swing band",
L2340,No Change,Pre-tibial shell molded to p,"Addition to lower extremity, pre-tibial shell, molded to patient model",
L2350,No Change,Prosthetic type socket molde,"Addition to lower extremity, prosthetic type, (bk) socket, molded to patient model, (used for 'ptb' 'afo' orthoses)",
L2360,No Change,Extended steel shank,"Addition to lower extremity, extended steel shank",
L2370,No Change,Patten bottom,"Addition to lower extremity, patten bottom",
L2375,No Change,Torsion ank & half solid sti,"Addition to lower extremity, torsion control, ankle joint and half solid stirrup",
L2380,No Change,Torsion straight knee joint,"Addition to lower extremity, torsion control, straight knee joint, each joint",
L2385,No Change,Straight knee joint heavy du,"Addition to lower extremity, straight knee joint, heavy duty, each joint",
L2387,No Change,Add le poly knee custom kafo,"Addition to lower extremity, polycentric knee joint, for custom fabricated knee ankle foot orthosis, each joint",
L2390,No Change,Offset knee joint each,"Addition to lower extremity, offset knee joint, each joint",
L2395,No Change,Offset knee joint heavy duty,"Addition to lower extremity, offset knee joint, heavy duty, each joint",
L2397,No Change,Suspension sleeve lower ext,"Addition to lower extremity orthosis, suspension sleeve",
L2405,No Change,Knee joint drop lock ea jnt,"Addition to knee joint, drop lock, each",
L2415,No Change,Knee joint cam lock each joi,"Addition to knee lock with integrated release mechanism (bail, cable, or equal), any material, each joint",
L2425,No Change,Knee disc/dial lock/adj flex,"Addition to knee joint, disc or dial lock for adjustable knee flexion, each joint",
L2430,No Change,Knee jnt ratchet lock ea jnt,"Addition to knee joint, ratchet lock for active and progressive knee extension, each joint",
L2492,No Change,Knee lift loop drop lock rin,"Addition to knee joint, lift loop for drop lock ring",
L2500,No Change,Thi/glut/ischia wgt bearing,"Addition to lower extremity, thigh/weight bearing, gluteal/ ischial weight bearing, ring",
L2510,No Change,Th/wght bear quad-lat brim m,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, molded to patient model",
L2520,No Change,Th/wght bear quad-lat brim c,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, custom fitted",
L2525,No Change,Th/wght bear nar m-l brim mo,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow m-l brim molded to patient model",
L2526,No Change,Th/wght bear nar m-l brim cu,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow m-l brim, custom fitted",
L2530,No Change,Thigh/wght bear lacer non-mo,"Addition to lower extremity, thigh-weight bearing, lacer, non-molded",
L2540,No Change,Thigh/wght bear lacer molded,"Addition to lower extremity, thigh/weight bearing, lacer, molded to patient model",
L2550,No Change,Thigh/wght bear high roll cu,"Addition to lower extremity, thigh/weight bearing, high roll cuff",
L2570,No Change,Hip clevis type 2 posit jnt,"Addition to lower extremity, pelvic control, hip joint, clevis type two position joint, each",
L2580,No Change,Pelvic control pelvic sling,"Addition to lower extremity, pelvic control, pelvic sling",
L2600,No Change,Hip clevis/thrust bearing fr,"Addition to lower extremity, pelvic control, hip joint, clevis type, or thrust bearing, free, each",
L2610,No Change,Hip clevis/thrust bearing lo,"Addition to lower extremity, pelvic control, hip joint, clevis or thrust bearing, lock, each",
L2620,No Change,Pelvic control hip heavy dut,"Addition to lower extremity, pelvic control, hip joint, heavy duty, each",
L2622,No Change,Hip joint adjustable flexion,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, each",
L2624,No Change,Hip adj flex ext abduct cont,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, extension, abduction control, each",
L2627,No Change,Plastic mold recipro hip & c,"Addition to lower extremity, pelvic control, plastic, molded to patient model, reciprocating hip joint and cables",
